-2, -13, 1012
-2, -13, 1012
-2, -13, 1012
-2, -13, 1012
-2, -13, 1012
-2, -13, 1012
-2, -13, 1013
-2, -13, 1013
-4, -12, 1014
19, -6, 1049
35, -1, 1068
51, 38, 986
86, 121, 831
114, 170, 642
134, 188, 446
123, 179, 251
61, 178, 61
-23, 175, -106
-118, 174, -213
-226, 156, -304
-308, 137, -348
-367, 51, -287
-418, -76, -155
-468, -205, 18
-500, -274, 202
-500, -292, 394
-456, -308, 599
-363, -291, 764
-238, -267, 849
-123, -227, 889
-35, -174, 908
42, -91, 908
85, 7, 922
134, 145, 907
180, 268, 877
233, 374, 824
293, 471, 744
332, 546, 673
351, 613, 612
377, 680, 522
412, 714, 402
440, 726, 275
486, 713, 125
532, 662, -17
546, 550, -161
528, 415, -282
477, 271, -387
403, 115, -498
310, -22, -591
196, -152, -655
72, -250, -702
-61, -320, -725
-209, -348, -724
-358, -304, -670
-461, -187, -559
-532, -49, -431
-543, 88, -291
-524, 232, -133
-475, 347, 13
-394, 459, 156
-269, 532, 288
-128, 611, 415
39, 644, 488
195, 627, 483
317, 568, 396
406, 496, 257
441, 424, 70
438, 376, -109
405, 320, -255
384, 300, -400
333, 339, -467
286, 390, -504
187, 437, -470
90, 498, -394
-6, 574, -284
-58, 654, -154
-111, 740, -8
-163, 792, 126
-217, 863, 221
-305, 852, 297
-409, 797, 273
-489, 693, 187
-490, 581, 48
-430, 458, -84
-328, 322, -187
-236, 206, -292
-128, 116, -368
-4, 105, -401
134, 116, -395
235, 149, -359
312, 199, -281
353, 293, -159
355, 405, -18
299, 525, 95
222, 668, 176
139, 790, 269
65, 885, 295
-1, 881, 258
-69, 795, 110
-103, 705, -33
-91, 582, -163
-84, 403, -290
-81, 241, -381
-85, 54, -398
-71, -120, -367
-50, -248, -314
-19, -331, -183
2, -372, -38
15, -350, 179
48, -340, 395
49, -330, 568
50, -316, 716
44, -343, 810
57, -334, 819
45, -369, 742
40, -428, 609
29, -498, 427
38, -571, 238
69, -625, 51
93, -618, -149
134, -548, -312
186, -417, -443
243, -234, -517
290, -50, -515
288, 138, -413
258, 268, -275
208, 357, -100
153, 374, 65
112, 337, 232
75, 245, 371
29, 96, 477
-22, -52, 580
-60, -172, 662
-109, -273, 750
-101, -327, 760
